crop,season,N_category,P_category,K_category,water_requirement,root_depth,soil_type,temp_C,rainfall_mm,humidity_pct,ph,temp_range,rainfall_range,humidity_range,ph_range
rice,Kharif,Medium,Medium,Medium,High,Medium,Clay,23.75,1250.0,75.0,5.875,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Clay,25.625,1375.0,77.5,6.062,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Clay,27.5,1500.0,80.0,6.25,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Clay,29.375,1625.0,82.5,6.438,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Clay,31.25,1750.0,85.0,6.625,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Clay loam,23.75,1250.0,75.0,5.875,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Clay loam,25.625,1375.0,77.5,6.062,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Clay loam,27.5,1500.0,80.0,6.25,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Clay loam,29.375,1625.0,82.5,6.438,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Clay loam,31.25,1750.0,85.0,6.625,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Alluvial,23.75,1250.0,75.0,5.875,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Alluvial,25.625,1375.0,77.5,6.062,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Alluvial,27.5,1500.0,80.0,6.25,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Alluvial,29.375,1625.0,82.5,6.438,27.5,1500.0,80.0,6.25
rice,Kharif,Medium,Medium,Medium,High,Medium,Alluvial,31.25,1750.0,85.0,6.625,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Clay,23.75,1250.0,75.0,5.875,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Clay,25.625,1375.0,77.5,6.062,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Clay,27.5,1500.0,80.0,6.25,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Clay,29.375,1625.0,82.5,6.438,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Clay,31.25,1750.0,85.0,6.625,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Clay loam,23.75,1250.0,75.0,5.875,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Clay loam,25.625,1375.0,77.5,6.062,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Clay loam,27.5,1500.0,80.0,6.25,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Clay loam,29.375,1625.0,82.5,6.438,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Clay loam,31.25,1750.0,85.0,6.625,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Alluvial,23.75,1250.0,75.0,5.875,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Alluvial,25.625,1375.0,77.5,6.062,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Alluvial,27.5,1500.0,80.0,6.25,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Alluvial,29.375,1625.0,82.5,6.438,27.5,1500.0,80.0,6.25
rice,Rabi,Medium,Medium,Medium,High,Medium,Alluvial,31.25,1750.0,85.0,6.625,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Clay,23.75,1250.0,75.0,5.875,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Clay,25.625,1375.0,77.5,6.062,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Clay,27.5,1500.0,80.0,6.25,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Clay,29.375,1625.0,82.5,6.438,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Clay,31.25,1750.0,85.0,6.625,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Clay loam,23.75,1250.0,75.0,5.875,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Clay loam,25.625,1375.0,77.5,6.062,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Clay loam,27.5,1500.0,80.0,6.25,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Clay loam,29.375,1625.0,82.5,6.438,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Clay loam,31.25,1750.0,85.0,6.625,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Alluvial,23.75,1250.0,75.0,5.875,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Alluvial,25.625,1375.0,77.5,6.062,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Alluvial,27.5,1500.0,80.0,6.25,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Alluvial,29.375,1625.0,82.5,6.438,27.5,1500.0,80.0,6.25
rice,Summer,Medium,Medium,Medium,High,Medium,Alluvial,31.25,1750.0,85.0,6.625,27.5,1500.0,80.0,6.25
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Loamy,13.75,450.0,47.5,6.375,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Loamy,15.625,525.0,51.25,6.562,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Loamy,17.5,600.0,55.0,6.75,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Loamy,19.375,675.0,58.75,6.938,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Loamy,21.25,750.0,62.5,7.125,17.5,600.0,55.0,6.75
